         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.003    0.000 minidom.py:1996(parseString)
    36/26    0.000    0.000    0.003    0.000 inspect.py:2435(_signature_from_callable)
        1    0.000    0.000    0.003    0.003 asttokens.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickleshare.py:1(<module>)
        2    0.000    0.000    0.003    0.001 decorator.py:1(<module>)
        1    0.000    0.000    0.003    0.003 environment.py:1(<module>)
        1    0.000    0.000    0.003    0.003 coloransi.py:1(<module>)
       31    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
     1942    0.002    0.000    0.003    0.000 typing.py:1266(_is_dunder)
       21    0.000    0.000    0.003    0.000 typing.py:723(Optional)
      532    0.003    0.000    0.003    0.000 traitlets.py:458(subclass_init)
        4    0.000    0.000    0.003    0.001 decorator.py:258(decorator)
       85    0.000    0.000    0.003    0.000 __init__.py:163(match)
        2    0.000    0.000    0.003    0.001 menus.py:1(<module>)
        1    0.000    0.000    0.003    0.003 keys.py:11(Keys)
        2    0.000    0.000    0.003    0.001 basedatatypes.py:2722(_build_dispatch_plan)
      546    0.000    0.000    0.003    0.000 basedatatypes.py:2535(layout)
       19    0.001    0.000    0.003    0.000 decorator.py:93(__init__)
      470    0.001    0.000    0.003    0.000 basedatatypes.py:5816(_strip_subplot_suffix_of_1)
     1618    0.002    0.000    0.003    0.000 numeric.py:1937(isscalar)
        1    0.000    0.000    0.003    0.003 timing.py:1(<module>)
       30    0.000    0.000    0.003    0.000 typing.py:1641(__getitem__)
       19    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 formatters.py:129(Percentage)
     4784    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
  624/236    0.001    0.000    0.002    0.000 utils.py:288(split_multichar)
      566    0.001    0.000    0.002    0.000 basedatatypes.py:722(__getitem__)
